github_number,additions,deletions,changed_files
1466,650,383,23
11719,5,1,1
11796,280,270,29
12142,6,4,1
11855,139,2,4
11744,60,25,3
12764,478,35,13
12921,7,1,1
12573,339,12,11
12229,29,4,3
11825,15,0,3
11732,127,6,1
11731,33,30,7
12105,9,2,1
11739,17,2,1
12270,4,0,1
11761,8214,0,264
14643,244,0,1
13857,415,0,5
11957,49,1,1
11766,341,65,8
11754,33,25,2
11755,149,40,3
12622,3,3,2
11760,1,1,1
11762,44,44,1
11570,314,287,2
11764,38,198,2
12650,255,2,16
11775,3,3,1
11892,7,5,2
11768,14,10,1
11864,167,34,2
11843,11,1,1
11771,11,1,1
11777,34,19,2
11779,12,6,3
11795,4,2,1
1387,3,3,1
11783,2,2,1
11793,2,1,1
11797,30,30,1
11799,55,19,1
11801,1,1,1
11808,161,28,13
11817,255,0,4
11811,35,12,4
11812,2,2,1
11830,46,45,5
11813,46,45,5
11859,18,1,1
11814,18,1,1
12225,37,12,2
12224,44,24,2
12227,2,530,2
12001,11,24,2
9338,102,102,39
9145,42,40,32
1445,19,16,3
1448,75,44,17
6153,1,1,1
12268,7,3,4
12159,128,0,4
11820,663,326,13
13774,13,11,1
11907,1,1,1
11821,2002,329,31
11837,2,2,2
14841,12,0,1
1391,157,284,4
1392,84,10,4
11828,74,11,3
11852,8,23,1
11829,1,1,1
11832,28,8,3
11840,664,17,7
15696,10,1,2
13470,1642,1208,31
11919,2806,4,34
12957,54,324,9
15640,10,1,2
13567,223,37,5
14069,23,32,2
13509,234,302,23
13787,13,11,1
12867,630,34,8
11834,2,2,1
11861,0,3,1
11860,0,3,1
11839,0,3,1
13198,38,15,2
13402,1,1,1
13146,11,11,1
13537,1,0,1
12924,2551,3,9
12645,2417,3,9
12490,2359,4,10
11847,141,0,1
11905,5,5,1
12023,270,0,3
12134,684,1,12
12423,165,227,4
12022,219,1,8
12145,703,4,11
12297,1032,44,7
12298,156,0,1
12234,154,1,4
12235,301,0,1
12368,368,4,5
12369,243,0,1
12611,2758,6,13
11862,137,12,4
12076,76,12,3
11931,2,2,2
12029,4,1,2
11865,1,1,1
11867,66,31,14
13585,8,12,3
11889,232,49,4
11912,84,8,2
12221,4,1,1
12170,39,5,2
11881,15,6,3
11880,1,1,1
11902,8,1,1
12343,3,2,1
11976,100,11,2
12757,6,5,3
11887,3,0,1
11888,1,1,1
15060,7,0,1
11923,37,18,2
11897,0,17,1
11898,14,8,4
1394,1,1,1
11900,1,1,1
11911,78,13,2
13276,8,2,1
11918,71,6,2
11915,2,2,2
11921,2,2,2
11939,143,42,8
11958,20,23,1
1397,19,8,1
12562,154,113,2
12537,52,17,5
12175,23,22,1
12309,23,22,1
11929,422,2,2
11930,22,7,2
11933,0,23,1
11934,0,1,1
11942,46,16,3
11943,29,1,2
11944,65,0,4
15319,34,13,2
15170,517,0,3
15214,451,8,2
11948,9,9,1
11952,0,3,1
11966,33,2,3
11954,13,1,1
12060,114,6,7
12054,550,124,22
11955,168,3,2
12035,210,152,5
12000,333,0,4
12120,86,12,3
11961,1,0,1
11962,2,2,2
11971,1,1,2
11987,2,0,1
11983,8,3,1
13653,9,641,3
12973,641,9,3
11986,105,8,5
11991,2,0,1
12174,348,3,10
12348,911,115,20
12200,15,2,2
11995,2,0,1
11997,68,8,3
11998,6,0,1
12003,6,0,2
12831,28,2,3
12007,14,4,2
12006,7,3,1
12010,256,15,8
12012,171,167,6
12030,25,23,1
12028,1,1,1
12329,13,6,2
12333,26,0,2
12032,25,3,2
12033,2,2,2
14639,104,8,11
14591,319,36,8
13417,73,102,7
13419,39,41,3
12089,271,112,4
12037,20,3,2
12064,28,3,2
12041,18,5,2
12046,446,6,2
12201,34,12,2
12143,180,30,2
12047,72,3,2
12050,87,17,5
12063,11,11,6
12051,1,5,2
274,916,268,7
12517,30,39,1
12053,32,1,2
12710,758,364,2
12430,53,8,2
12419,4704,3330,2
12093,847,226,3
12062,219,134,8
12065,49,2,3
1406,20,16,2
12215,157,58,9
12095,36,7,3
12124,234,56,2
12074,159,38,3
12078,7,4,1
12085,2,0,1
1414,17,1,3
12087,4,2,1
12086,2,0,1
13655,641,9,3
12097,202,0,5
12096,3,22,1
1479,76,60,5
12098,19,7,1
12101,1,1,1
12109,2,1,1
12104,4,2,1
12131,61,2,5
12090,528,224,11
1415,103,20,4
13093,1,1,1
12497,1,2,2
13110,1,1,1
12132,14,20,4
12121,49,0,1
13062,158,248,2
13866,4,1,2
12130,3,3,1
12133,61,18,5
12137,26,25,2
12184,67,48,1
12144,15,2,1
14954,283,3,3
12278,111,35,8
12164,118,43,8
2115,3016,0,13
1994,2752,0,10
12155,70,255,5
13191,2050,26,1965
14311,9,12,1
13134,262,144,100
14175,55,37,2
14254,40,31,2
13769,1,1,1
13719,2,1,1
13525,1,0,1
13192,147,249,76
12162,165,100,100
12310,4,4,2
12171,4,4,2
12202,422,371,15
12267,149,199,5
14161,93,16,3
13016,147,115,1
12185,297,11,7
13204,12,5,1
12168,233,200,4
12187,233,200,4
12189,46,2,2
12128,543,0,3
12236,15,9,2
12191,2,0,1
12210,2,2,2
12192,62,40,4
12241,33,19,2
12275,766,104,8
12195,24,30,4
12199,158,22,15
12242,368,1,7
12207,1,1,1
12308,5,4,1
13381,50,2,4
12214,579,256,1
12643,1147,465,6
12218,47,2,1
1412,582,249,24
13547,0,24,1
12226,4,1,1
12228,4,2,1
12766,55,24,4
15517,0,3,1
1456,1,1,1
12250,13,4,1
12668,0,195,1
12243,1,1,1
12744,310,1,12
12237,24,10,3
1434,235,122,11
2074,168,112,5
12441,25,20,2
12510,3,3,1
12432,5,3,1
12276,7,2,1
12726,320,28,2
13069,487,14,15
13144,157,58,3
13292,66,2,3
13805,403,68,9
13493,81,23,5
13474,188,0,4
2073,50,7,2
13313,52,15,4
13456,91,0,1
13227,53,33,3
13326,72,13,1
13368,862,47,2
12850,2,2,2
12251,103,10,2
12260,34,6,2
12258,67,80,4
12256,20,0,1
1437,3,3,3
12266,39,34,2
12271,193,249,5
12304,12,0,1
1438,170,33,13
12535,11,3,2
12272,31,24,5
12279,16,0,2
12317,3,1,1
12320,406,41,6
12283,12,8,3
12284,124,57,5
1450,17,8,3
12295,68,7,2
12299,159,10,5
12671,65,31,3
12301,89,87,4
12385,637,600,11
12306,4,0,1
13019,4,8,2
2473,13,13,1
12730,33,14,2
12315,11,7,1
12322,3,0,1
12325,109,72,6
12626,1674,3,16
12979,547,20,7
12770,769,8,19
12996,1,1,1
12460,407,14,8
12372,3530,41,8
12327,2269,1,11
12332,0,50,4
12352,580,46,17
1443,46,45,12
12313,179,2,3
12334,2,2,2
12337,146,93,9
13742,5,6,1
12338,177,50,50
13261,6892,2022,2131
13521,63,82,1
12341,733,567,11
12345,30,8,2
12399,124,10,2
12355,50,34,1
12354,1,1,1
12349,208,124,10
12351,15,4,5
12367,27,12,3
12344,4,2,2
12358,2,2,2
12364,108,108,1
12774,2,0,1
12765,2,0,1
12359,16,0,4
1444,25,1,1
12481,591,491,14
12366,13,6,4
12376,346,533,88
12374,3,3,2
12375,318,11,4
12524,154,116,2
12389,163,8,2
12406,20,3,1
13393,81,3,4
12400,10,0,1
12404,2,2,2
12473,228,3,3
12331,1176,0,4
12408,56,33,1
12717,6,6,1
12451,1,1,1
12499,273,33,2
12413,61,8,2
12702,5,5,2
12797,45,20,2
12414,6,1,2
12703,249,26,5
12799,220,87,6
12701,14,4,1
12700,100,188,6
12415,641,1,3
12412,240,20,7
12800,328,7,7
12410,17,5,4
12411,122,0,2
12704,179,250,8
12425,314,32,8
12552,10,1,1
12536,21,34,5
12564,448,121,21
12433,81,10,5
12446,32,17,5
12495,32,17,5
12738,12,7,4
12435,81,42,3
12848,80,2,2
12438,12,3,1
12440,126,14,3
3186,67,34,1
1462,193,1,2
12540,15,7,3
12449,10,10,7
13089,1,1,1
12454,53,36,2
1470,10,2,2
12455,34,10,1
12456,22,2,2
13169,5,3,1
14107,1,5,2
12466,1,1,1
12464,92,0,2
1390,536,0,10
12787,123,13,4
13455,17,0,2
12863,706,9054,6
12477,6,92,2
12480,64,16,2
12478,0,2,1
12479,61,25,8
1426,65,108,11
13301,0,1,1
12864,1473,176,7
12474,728,2,31
12484,81,68,1
12498,660,217,12
12488,378,35,20
12494,358,615,11
13576,2,2,1
1480,52,22,2
12778,1,1,1
14260,5,2,3
12518,14,0,1
12526,1,0,1
14414,4,2,3
12513,7,3,4
12512,2,2,2
12618,905,761,30
14868,3,7,1
12617,466,24,11
12519,565,463,20
12599,1,1,1
13021,41,8,6
12603,1510,49,10
13002,1,3,1
13018,107,4,5
12708,128,23,10
12594,91,2,6
12616,23,5,4
14864,3,7,1
13006,545,382,44
12548,24,8,1
14844,72,25,12
13022,1,1,1
13038,10,1,1
13041,24,6,1
14849,31,56,8
14755,9,19,4
14793,9,19,4
14801,88,16,11
14808,4,8,2
13015,1,1,1
13044,24,6,1
12576,370,19,8
13908,250,17,4
12527,42,16,1
12698,293,276,15
12658,27,8,1
12531,60,11,3
12520,46,3,3
12828,5,1,1
12533,26,10,1
12538,1,1,1
12597,215,0,3
12545,1,1,1
12551,13,45,4
12556,73,2,2
12558,23,1,2
12604,0,1,1
12652,2,1,1
12577,18,52,2
12585,8,2,1
12561,8,2,1
12584,18,52,2
12609,653,25,9
1491,68,4,5
12696,0,2,1
12768,1,1,1
12801,10,7,3
12684,76,2,4
12566,5,3,2
12571,34,2,3
12619,70,5,6
13405,288,27,8
13208,392,69,9
12678,324,71,8
12677,190,234,8
12578,497,157,10
12579,1,1,1
12811,20,12,2
12583,221,12,4
14073,232,24,7
13944,8,3,1
15023,97,53,7
14368,734,0,7
15446,5,5,3
15368,659,1,8
15518,771,54,9
15490,677,515,29
15647,941,93,11
14176,110,106,9
1590,71,16,2
12690,2,2,2
12567,136,57,7
12830,18,0,2
1483,6,2,1
12615,101,0,1
12705,113,36,4
12749,86,56,2
12610,169,34,1
2288,63,24,4
1500,134,51,4
12621,13,0,1
12625,15,13,1
12620,1,0,1
12623,4,1,1
12624,35,1,2
12653,140,234,9
12630,69,4,2
12759,238,145,5
12733,135,5,3
14195,9,8,1
12634,48,45,4
12803,71,60,7
12641,82,5,2
12654,15,4,2
12637,23,10,1
1492,26,10,1
12642,49,193,13
12665,4,4,1
12444,1521,1396,261
12689,3,3,1
12697,3,3,1
12699,152,0,6
12740,52,4,6
12651,152,0,6
12657,269,1,3
12655,117,11,2
12656,74,28,5
12648,35,201,5
12659,28,13,3
12660,5,3,2
1431,17,6,4
12754,440,8,7
9573,7,0,1
10890,1,1,1
13090,1,1,1
13092,1,1,1
12672,4,0,2
12688,177,10,2
6670,238,20,2
12683,58,4,3
12882,589,90,12
12862,2,2,2
12692,20,14,6
15559,6,6,3
12756,215,437,4
12722,1,1,1
12737,6,5,1
12712,1,1,1
12755,70,3,1
12715,2,1,1
1502,0,2,1
12731,176,53,8
12716,12,5,2
12919,19,1,1
12798,49,3,3
1501,1,1,1
12739,1,0,1
12753,4,1,1
12752,4,1,1
12742,1,1,1
12727,531,115,11
12746,89,77,2
12723,45,33,2
12751,1,1,1
12992,9,1,2
12761,14,4,2
14446,28,0,2
12781,76,17,3
1623,282,135,10
12783,2,3,1
14384,450,705,14
12888,227,10,3
14141,781,120,13
12760,216,34,3
12914,34,216,3
13135,62,7,2
12790,23,3,2
12793,2,1,2
12794,164,6,5
12805,67,6,2
12829,6,2,1
1485,25,2,2
12812,123,13,7
12816,26,9,1
12818,5,1,2
12817,12,0,1
1509,2,2,1
12822,196,35,6
12846,19,17,1
12840,4,2,1
15134,308,913,18
15056,913,308,18
12836,400,3,7
15135,594,82,16
12835,3,1,1
1647,2,2,1
12852,133,27,7
12837,85,0,2
13308,479,1,7
12843,116,23,6
13377,799,18,13
1692,5,0,1
12851,12,2,2
12854,68,20,4
12918,39,1,3
13463,1,1,1
14707,1,1,1
14760,1,1,1
15705,0,5,1
15039,523,25,16
15390,559,0,2
15663,5,0,1
15570,5,4,3
15503,1027,816,7
12859,2,2,2
12767,19,42,7
15185,494,12,3
15402,26,504,3
15602,900,10,7
15408,26,504,3
2096,82,456,11
2256,455,81,11
13335,194,91,12
13277,318,0,2
12865,250,179,8
12866,11,7,1
1559,1,1,1
12874,30,11,3
12880,14,6,1
12887,2,1,1
13747,97,2,5
14045,967,12,3
14431,265,171,1
14962,736,48,3
12892,1016,0,1
12912,43,3,2
1531,3,1,1
13105,673,93,17
13120,113,24,2
12900,77,66,2
1518,17,0,2
12907,84,79,51
15119,2,0,1
15083,2,0,1
15290,34,5,5
15664,5,3,1
15127,6,3,1
15107,1,3,1
12967,49,29,3
12922,1,2,1
12946,5,52,4
12948,78,16,1
12934,225,53,3
13123,125,22,2
1520,18,10,1
12928,47,5,2
14194,2,1,1
14126,5,1,1
14115,2,20,6
14114,33,96,102
14093,2,0,1
