github_number,additions,deletions,changed_files
6562,164,66,8
6561,164,66,8
6471,6,85,2
6589,1205,582,28
6590,854,558,20
6587,1205,582,28
6588,1205,582,28
7995,42,2,2
6482,136,18,3
6474,2,2,1
60,143,12,7
2129,102,26,4
6480,40,16,2
62,99,32,4
7674,2662,1321,49
6552,88,0,1
66,2129,313,69
6646,449,39,9
11338,140,4,4
15675,143,7,4
9158,4,4,3
16801,696,274,15
6490,190,9,3
6491,8,6,1
6509,107,1,8
6495,10,2,1
6498,3,2,1
6500,51,172,10
6503,25,27,1
6796,128,4,4
6508,202,45,7
6499,181,148,1
6303,12,3,2
6534,57,6,5
6528,4,2,1
6530,13,1,2
6651,17,2,3
6595,17,2,3
6650,17,2,3
7092,480,76,4
6823,406,73,5
7157,414,7,4
6710,371,153,5
6702,324,46,24
6553,41,29,2
6557,24,6,3
7203,38,19,3
6654,197,7,4
6655,197,7,4
6599,214,24,14
6563,38,3,3
6606,624,149,18
6572,115,34,15
6573,115,34,15
6966,416,118,18
6863,111,15,6
6583,218,307,22
6617,162,22,3
12729,346,15,7
8111,266,73,5
101,914,1,7
11747,469,122,7
6608,420,59,7
6657,1166,253,53
6684,232,20,11
8125,243,20,11
6663,39,0,1
84,1290,761,95
6637,70,0,9
17352,759,158,18
6656,330,105,9
9075,1068,43,14
7550,1048,0,6
6628,0,0,0
6627,1644,0,15
6676,239,80,4
6759,404,41,13
6876,614,95,21
6678,499,155,24
9334,451,20,9
6682,319,46,10
278,63,54,3
161,1,1,1
14014,22,6,3
6671,216,134,16
6659,16,1,2
6786,155,30,13
6661,6,2,2
6666,100,3,5
6733,72,14,6
6807,408,121,23
6754,977,461,20
6819,672,135,19
6820,672,135,19
6785,842,253,22
141,4983,1179,117
79,611,302,22
6688,2,6,1
6693,26,40,4
6700,129,0,10
7010,220,147,8
6858,190,542,19
6859,190,542,19
6704,33,124,3
6907,41,50,1
6999,41,50,1
6808,11,11,4
7057,2,2,1
6975,5,3,1
9372,29,2,1
6965,100,49,3
6721,3,22,2
6747,0,12,1
7646,0,2,1
6752,436,696,23
6736,127,0,10
6751,372,472,10
6743,1753,846,32
6755,35,1,4
6756,281,20,8
6757,4,0,1
6764,130,0,10
7090,274,61,11
7093,120,19,7
7082,120,19,7
7089,120,19,7
7033,6,19,1
7096,11,12,1
92,1,1,1
6800,1,0,1
6760,198,70,6
6814,1297,37,32
6913,13,19,9
6778,639,691,1
6768,0,244,1
7662,3379,3296,77
6898,2135,1434,60
10010,9,4,1
10023,9,4,1
6872,198,55,6
6767,1,1,1
8121,2,1,1
6813,178,15,4
8219,12,8,3
6769,376,0,4
1522,475,334,28
6771,100,13,8
6799,19,2,2
8653,155,90,6
6989,41,5,3
7107,32,3,2
8699,155,90,6
8701,155,90,6
7108,32,3,2
6774,479,2,8
6777,429,129,12
6888,31,11,4
6779,4,1,1
8398,8,0,1
6788,27,18,5
6781,55,0,2
7163,1232,370,46
6783,129,0,10
7188,1161,179,42
6792,356,25,12
7262,24,2,3
7074,30,2,2
7118,38,30,3
6790,110,5,3
6910,27,18,2
6809,173,132,11
7658,1018,171,29
6794,121,162,13
6797,184,0,10
95,9,0,1
6834,729,780,6
7453,0,8614,82
6845,29,81,3
6804,117,321,10
6806,4,4,3
6836,9,0,1
6828,53,0,2
7986,3291,122,12
14806,65,5,3
7047,455,2,6
6821,2,1,1
6816,6,30,1
6826,6,279,11
6827,119,82,4
7036,276,105,16
6833,7,17,3
7694,128,1941,19
6835,0,152,1
6918,423,430,24
6840,0,103,1
6844,2,192,2
6842,0,1860,8
6878,53,4,2
6847,4,3,2
6849,110,156,2
6953,227,142,3
7509,249,154,4
6851,2,103,3
6855,40,2,4
6856,16,159,5
7276,94,3,3
6860,20,1,2
7720,75,136,1
7303,95,1351,15
7724,22,68,2
7719,21,56,4
7708,244,523,11
7722,9,31,1
7815,139,180,11
7723,24,51,2
7721,11,21,1
6896,46,0,2
6880,29,4371,45
6901,171,11,14
7950,0,186,9
6865,1,39,2
6867,57,15,2
6990,6,1,1
6868,27,2,5
6870,27,2,5
6869,27,2,5
7839,28,24,4
7440,815,303,11
108,930,6,27
6879,3,0,1
6887,5,0,1
6877,50,9,5
6890,998,997,12
6881,777,919,11
6891,49,90,4
6892,52,34,12
6882,1,0,1
784,24,1,1
6883,273,378,5
6922,0,8,1
6885,1,19,1
6886,12,20,2
6884,1,19,1
113,1537,690,37
6925,1,1,1
6926,41,3,4
6927,449,131,7
7070,929,2,3
7065,17,5,1
6957,710,98,10
6967,139,58,5
6978,3,3,2
7001,5,0,1
7000,5,0,1
7002,5,0,1
6943,269,33,6
7003,926,0,9
7056,299,17,17
7053,157,0,2
6905,14,0,6
6904,14,0,6
6899,815,750,62
6981,72,42,7
6893,5,5,2
6902,8,8,2
6900,18,2,2
7005,155,42,4
6920,155,42,4
6912,4,1,1
7199,254,254,27
6915,13,1,2
6916,13,1,2
6917,36,88,4
6919,10,19,1
6950,3,0,1
103,1,1,1
6923,44,20,4
7076,10,5,1
7067,1980,13,16
7147,366,63,5
6949,99,8,6
6985,16,13,4
6984,17,14,4
6983,15,12,4
6959,51,37,6
6982,17,14,4
6960,22,14,4
6986,17,14,4
6930,631,530,27
6932,43,22,4
6928,3,0,1
6929,3,0,1
6958,4285,3443,153
7059,489,514,13
6939,80,38,8
6988,35,11,3
6941,17,4,1
6940,17,4,1
6951,129,30,4
6945,1,1,1
6970,445,6,5
6997,822,302,9
105,13,19,4
6946,0,76,1
6954,3,0,2
6948,3,1,1
6963,3,0,2
8016,27443,7102,386
8542,258,8,9
7023,52,28,8
7813,748,66,11
7009,754,116,11
6996,6,1,1
7008,11,0,1
130,43,7,2
6994,282,2,6
7571,160,265,12
6964,1,0,1
6974,17,15,1
109,442,290,53
7030,2,6,2
7077,72,83,13
6993,1,1,1
13344,7315,310,86
12492,376,0,4
7368,1935,346,22
7004,71,1,2
6992,14,12,1
7295,226,790,115
104,89,651,5
