github_number,additions,deletions,changed_files
4473,1,1,1
4980,4,0,1
338,128,96,8
618,35,20,1
671,6,0,1
1281,54,61,4
713,449,2,15
1938,126,21,3
2326,110,3,8
95,154,0,3
3264,94,27,3
1304,4,4,3
1282,4,2,1
5747,250,19,13
3475,1227,0,19
1924,4845,3,30
5951,4625,2,30
4368,8,5,1
298,5155,0,72
239,5155,0,72
934,1,1,1
875,307,377,114
4431,1,1,1
197,27,4,3
6235,17,17,1
1249,1985,416,57
1525,15,1,3
1530,11,17,3
3460,9,12,1
3539,501,2,7
247,62,7,10
7339,84,6,2
7267,84,6,2
202,0,0,0
211,4593,5198,114
225,7,7,7
234,103,75,23
207,4593,5198,114
1290,2,7,3
1318,119,37,1
1264,6161,9983,484
1288,1,1,1
1299,2,2,1
1292,167,0,3
1291,296,10,5
1611,253,0,2
1326,1,1,1
435,1,1,1
354,5,3,3
4417,15,14,2
27,53,13,3
28,1,1,1
208,85,3,9
543,1,1,1
2199,38,33,8
2222,1,1,1
1459,16,24,4
259,18,18,18
268,17,17,17
3614,44,16,2
2784,42,1,5
4209,295,35,7
1042,56,2,1
1151,72,0,1
1109,22,21,1
121,1,11,1
117,13,1,2
3664,305,42,3
4137,163,12,4
8515,78,18,4
88,28,4,8
752,3,1,3
4654,56,4,1
3289,4,3,2
1125,3,3,1
3826,360,44,16
4093,1,2,1
18,1,1,1
193,317,115,10
186,317,116,10
220,5,5,1
219,7,7,1
102,5,5,3
93,16743,13953,130
9152,29,1,1
9165,1,0,1
657,4,0,1
65,21,51,1
3681,2,4,2
419,5,0,1
372,611,35,20
2439,103,104,2
274,39,4,3
469,2,17,2
311,866,130,17
42,14,2,1
1996,1,1,1
112,7,7,2
111,19,2,2
7720,1,0,1
3,7,0,1
6,13,46,1
73,1330,1,30
7,616,2,3
14,265,0,2
11,265,0,2
97,94,3,7
34,304,15,9
290,8,44,11
32,35,0,2
35,190,195,21
985,15,1,2
40,2,0,1
569,735,1496,77
