github_number,additions,deletions,changed_files
4695,452,14,16
11065,155,0,4
10992,0,155,4
10993,25,0,1
11429,218,0,3
11440,872,114,26
10998,561,63,19
11003,1,0,1
11020,16,5,1
11022,22,32,4
11006,41,30,10
11307,49,7,2
11011,20,21,4
11092,0,17,2
11095,14,22,5
11337,173,80,12
11048,20,21,4
11009,8,7,3
11010,16,0,1
11026,2,2,1
11017,54,10,4
11037,200,0,3
11036,5,1,1
11070,1,0,1
11101,1,0,1
11040,188,503,5
11060,1,1,1
11182,7,0,1
11122,4,0,1
11062,1,1,1
11154,14,6,5
11098,3,4,3
11063,1,1,1
11318,10,1,1
11088,6,0,1
11183,30,2,2
11375,2,2,1
11089,10,2,1
6084,16,5,8
11067,8,2,2
11068,2,17,2
11104,2,1,1
11233,113,1,3
11310,9,2,2
11086,97,150,5
11097,109,119,4
11076,1,1,1
11863,10,3,1
11094,1062,44,37
13346,75,58,3
13314,100,33,3
13358,75,58,3
11108,37,54,8
11186,4,0,2
11185,4,1,3
11135,1,15,1
11153,1,13,1
11100,106,10,3
11242,105,8,3
11418,57,3,10
11109,32,12,2
11225,1,1,1
11118,18,22,3
11184,42,64,4
11121,3,0,1
11553,0,3,1
11168,388,211,21
11128,4,4,2
11140,5,1,1
11150,5,8,2
11161,211,0,6
11147,21,35,2
11209,375,0,8
11159,2,2,1
11370,17,67,12
11414,22,432,9
11415,1,45,5
11411,50,79,6
11424,46,703,22
11416,6,78,17
11160,1,1,1
11278,2,2,2
11172,1825,62,11
11230,6331,522,132
11234,6299,516,131
11204,0,8,1
11180,0,1,1
11197,1,1,1
11269,2,2,2
12691,6127,701,80
11517,2,3,2
11199,12,6,1
11261,152,0,2
11240,2,2,2
11205,291,0,4
11216,1,1,1
11226,2,2,1
11227,1,1,1
11397,961,59,36
11270,131,77,8
11265,10,6,1
11266,13,1,9
11274,131,41,2
11298,22,1,2
11290,2,2,1
11522,887,9,15
11497,875,7,14
11386,3,71,2
11383,71,3,2
11334,35,6,1
11305,30,6,1
11431,1730,136,37
11314,1,1,1
11313,7048,0,53
11423,1079,10,14
11490,3593,8,45
11430,1031,8,14
11716,17,0,1
11735,3,2,1
11715,448,2,5
11709,18,7,3
11328,13,2,1
11394,205,0,6
11332,1,1,1
11377,1,1,1
11413,2,1,2
11363,65,17,4
11338,1,0,1
11357,11,5,5
4902,79,0,1
4869,2689,671,49
11468,65,35,4
11463,7,1,2
11633,2,2,1
11634,3,3,1
11376,1,0,1
11378,298,223,16
11455,73,28,2
11456,76,25,1
11398,1296,13,59
11380,3,3,1
11691,0,1,1
11592,362,66,10
11422,9,1,1
11387,16,26,3
11642,12,0,2
11458,0,10,1
11450,10,0,1
11417,60,2,3
11420,15,3,1
11471,1,1,1
11391,1,1,1
11448,6,4,2
11489,4,3,2
11405,1,1,1
11410,15,3,1
11432,404,0,4
11438,72,42,11
11454,2784,5,58
4743,8,0,2
11561,44,0,1
11503,1725,12,40
11830,2056,6,46
11443,1,1,1
11444,162,0,2
6170,40,17,7
11445,29,0,8
11814,6,4,3
11453,1,1,1
12823,5,5,1
11514,6,6,1
11570,70,17,4
11690,206,2,3
11603,14,2,2
11459,3,3,1
11460,32,3,2
11537,73,12,7
11467,158,66,11
11466,1,1,1
11611,140,0,4
11669,696,21,14
6604,5730,2344,242
11482,57,24,2
11480,14,0,1
11472,1,1,1
11473,5,2,4
11506,3530,14,33
11479,5,2,1
11486,2,2,1
11494,9,1,2
11481,127,5,4
11625,337,35,8
11491,8,21,2
11485,224,62,13
11487,1,1,1
11509,20,4,4
11683,1,2,1
12244,873,2,10
4590,215,0,5
11493,1,1,1
11591,1,1,1
11911,3,2,1
4459,357,5,10
11545,17,8,1
11501,3,3,1
11504,6,0,1
11505,23,5,5
11512,18,3,1
11508,32,33,5
11513,1,1,1
11516,12,0,1
11630,4,0,1
11523,2,2,1
11728,1352,221,54
11741,26,6,6
11598,3,0,1
11520,7,2,3
11521,3,3,3
11542,5,1,1
11544,137,76,11
11530,6,11,1
11531,14,8,2
11532,105,41,8
11534,0,1,1
11566,287,1,5
11535,7,7,3
11568,159,80,12
11541,221,12,5
12358,48,3,3
11549,1,2,1
11572,377,47,13
11577,538,47,17
11556,208,3,8
11711,373,12,10
11539,8,5,1
11540,10,5,2
11543,3,2,1
11546,26,8,2
11550,38,14,3
11548,0,7,1
11564,351,0,4
11551,166,1,8
11554,30,30,18
11555,232,0,8
11606,1,1,1
11558,26,5,1
11569,2,2,1
11559,9,8,5
11573,7,6,1
11565,4,1,1
11560,226,34,14
11562,1,1,1
11567,32,0,1
11575,38,1,3
11578,2,2,2
11579,1,1,1
11583,56,25,7
11580,8,0,1
11581,15,15,11
11582,169,130,5
11595,33,19,2
11615,10,10,2
11586,50,24,18
11589,24,50,18
11587,0,47,2
11619,32,0,2
11593,1,46,1
11594,2,2,2
11597,12,21,1
11600,2,2,2
11601,36,46,1
11663,89,0,3
4430,521,32,13
11602,17,8,4
13267,2,2,1
11608,1,1,1
11613,41,8,4
11618,31,1,2
11629,6,0,1
11620,19,0,2
11621,4,1,1
11655,1,1,1
11623,6,3,4
11627,2,2,1
11626,1,1,1
11628,7,37,4
11638,198,15,6
6165,96,4,4
11637,160,0,2
11636,177,0,2
11665,10,5,6
11639,4,0,1
11647,4,0,1
11640,1,0,1
11646,1,0,1
11648,518,4,8
11641,1,0,1
11645,1,0,1
11652,8,1,1
11649,16,0,2
11651,4,4,1
11654,15,0,1
11978,16,1,5
5830,2,2,1
11656,10,11,2
11764,12,5,1
11670,15,10,1
6181,1306,123,15
11688,36,5,4
11664,27,3,2
11666,0,125,5
11667,1,1,1
11694,1,1,1
11671,1,1,1
12264,3598,21,31
11676,48,9,8
11813,44,96,1
11675,8,0,1
11681,1,0,1
11678,3301,9,12
11680,12,10,7
11679,1,1,1
11685,66,16,3
11684,2,1,1
11686,16,24,8
11687,4,4,1
11689,337,1,5
11692,4,1,1
11826,283,0,7
11693,3,3,1
11696,30,3,1
11722,1,1,1
11697,4,4,1
11730,3,43,3
11700,33,22,7
11714,7,3,2
11703,1,1,1
11706,3,4,2
11704,454,6,13
11729,456,79,22
11708,1,1,1
11707,7,1,1
12414,567,0,2
12136,60,0,1
12778,39,0,1
11713,1,1,1
11712,1,1,1
12333,2,3,1
11738,140,24,8
11727,100,47,5
11749,24,20,5
11726,35,47,4
11733,1391,517,84
11717,18,10,4
11719,13,2,2
11725,1,0,1
11756,34,78,5
11757,34,78,5
12013,4,0,1
11723,0,1,1
11731,65,19,6
11724,17,7,2
11732,21,17,1
11734,0,12,6
12275,1,1,1
11745,582,286,82
11800,12,42,7
11739,3,0,1
11740,10,11,2
11796,48,7,5
11742,34,35,9
11754,8,3,2
11748,14,6,2
11802,719,169,67
11755,65,20,5
11751,7,1,1
11750,10,3,1
11752,23,7,5
11765,2,4,3
11758,3,1,1
11761,1,1,1
11763,3,3,1
11768,1,1,1
11776,922,32,21
11772,0,34,4
11771,2,2,2
11769,224,0,10
11775,1,1,1
11795,396,44,16
11783,218,23,14
11777,9,1,2
11780,874,15,22
11875,5,2,1
11805,16,7,1
11781,411,0,13
11782,152,1,2
11789,39,0,1
11891,843,376,29
12567,702,14,14
11786,0,4,1
11787,0,6,1
11788,0,1,1
11793,2,3,1
11859,1,1,1
11794,0,5,1
13920,42,6,2
11804,0,4,1
11807,0,6,1
11808,1,1,1
11809,38,0,4
11810,1,1,1
11811,1,1,1
11812,1,1,1
11818,2,2,1
12452,276,110,19
11821,19,1,2
11825,25,0,1
11822,2,26,3
11823,0,7,1
13115,0,5,1
13458,0,1,1
11827,0,6,1
11828,1,1,1
11848,8,0,1
11833,3,1,1
11834,58,89,4
11836,8,1,2
12142,0,70,6
12811,6,6,1
11837,82,1,4
11839,162,154,23
11840,1,1,1
11841,3,1,2
11842,56,33,1
11846,1,1,1
11856,3,6,3
11890,59,0,5
11879,199,0,5
11845,0,3,1
11857,13,9,4
11977,45,7,7
11980,51,0,7
11869,1,1,1
11847,117,33,4
12153,3,121,3
11997,121,3,3
12160,211,2,3
11854,11,1,1
12733,32,29,1
11852,112,41,20
11851,70,35,15
11968,8,0,1
11954,3,1,1
11948,8,0,1
11946,9,1,1
11853,0,7,1
11855,0,14,1
11860,26,6,3
11864,2,4,1
11865,2,1,1
11873,18,58,6
11998,73,1,4
12884,134,4,4
11867,32,100,11
11874,1,1,1
11868,16,59,4
11871,2,2,1
11872,14,0,2
12130,1,1,1
11877,19,13,3
11897,1,1,1
11876,476,0,5
11918,56,13,9
11878,0,2,1
12086,63,4,3
12118,14,4,5
11882,6,1,1
11881,1,5,2
11901,161,28,5
11884,21,1,1
11883,0,16,3
11889,1,1,1
11885,8,7,6
11887,24,328,12
11888,62,0,4
11892,1,1,1
11893,1,1,1
11902,155,58,4
11896,130,0,2
11895,0,7,3
11898,184,313,9
11912,1,16,2
13164,0,7,1
11899,8,0,1
11900,0,13,1
11927,18,2,1
11903,9,3,3
12021,1,4,2
5428,3,3,2
11904,0,8,3
11908,0,18,1
11909,1,16,1
11910,0,6,1
11913,0,6,1
11915,127,48,4
11916,19,2,10
11919,1,1,1
11922,109,0,1
11990,279,21,5
11972,8,0,1
11942,669,129,23
12030,137,10,3
6786,1,1,1
11925,1,1,1
11926,140,34,5
14013,0,7,1
11944,6,1,1
11953,9,1,1
11930,6,1,1
12294,13,0,1
11935,123,1,7
11931,12,7,1
11945,7,2,1
11950,1,1,1
11932,0,14,1
11938,29,15,5
11936,4,1,1
11940,26,0,1
11949,1021,341,34
11963,621,621,40
11965,673,773,48
11957,609,617,39
11943,14,1,1
11955,0,3,1
12057,1,52,8
11966,104,70,15
11961,104,70,15
11967,34,10,3
11970,21,10,1
11971,65,90,29
11973,1,1,1
11979,6,1,1
11976,1,1,1
11975,1,1,1
11983,25,13,2
13181,463,1,12
14517,1,9,1
14562,25,5,5
14501,9,1,1
12050,77,35,13
12031,1,1,1
11984,1,1,1
11986,5,38,4
11995,1,1,1
6633,191,16,4
12005,1,1,1
11993,38,17,4
11994,197,49,8
11996,154,2,4
12018,155,7,5
12010,87,154,23
11999,9,3,1
12001,0,32,1
12003,5,0,5
12002,1,1,1
12036,667,30,13
12004,1,1,1
12489,2648,77,44
12321,3,0,1
12011,14,1,3
12012,10,5,3
12143,241,0,3
12157,167,0,2
12015,8,5,2
12016,2,2,1
12028,1,1,1
12019,5,9,2
12020,55,11,4
12042,90,29,5
12045,296,56,13
12024,242,63,13
12040,1,1,1
12093,219,0,2
12014,1606,162,56
12032,19,2,8
12033,1,1,1
12079,13,1,3
12035,1011,0,16
12038,50,26,14
12046,18,12,3
12058,0,2,1
12214,205,1,4
12355,96,0,1
12048,402,1,2
12041,101,2,1
12044,3,9,1
12099,14,7,1
12149,3,39,3
12782,3,39,3
12133,44,2,3
12121,4,4,1
12053,15,15,15
12475,34,0,3
12059,12,12,1
4427,82,35,9
12060,0,4,1
12061,1,1,1
12071,1969,81,23
12063,1966,81,23
12064,1,1,1
12065,21,21,1
12066,36,3,2
12111,80,57,7
12104,3,36,2
12095,2,2,1
12067,7,0,1
12068,3,2,1
12073,31,0,2
12186,1,2,2
12075,2,0,1
13972,16,15,1
12083,295,5,6
6636,372,35,20
12077,1,1,1
12078,53,0,8
12080,2,2,1
12081,0,5,1
12082,1,1,1
12084,1,1,1
12088,1,1,1
12085,1,1,1
12087,1,1,1
12108,133,55,22
12091,2,2,1
12138,530,84,7
12094,140,90,1
12096,6,2,1
12379,0,1,1
12367,7,24,2
12363,4,21,2
12103,6,10,1
12105,1,1,1
13328,0,1,1
12109,1,1,1
12345,2,2,1
12110,26,0,7
12165,60,14,3
12432,0,0,75
12433,86,88,89
12131,400,0,9
12128,16,9,3
12127,13,5,1
12132,3,1,1
12135,4,5,1
12189,4,5,1
12139,18,1,1
12188,303,44,18
13489,17,6,3
12140,6,0,2
12144,3,3,1
12145,1389,9,10
14514,191,0,4
12146,13,3,1
12195,806,1,6
12148,7,31,3
12151,3,3,1
12281,90,31,13
12426,2,6,2
12159,24,1,1
13180,138,6,4
12156,1,1,1
12278,125,0,3
12158,1,1,1
12161,7,6,1
12241,1350,306,43
13903,0,1,1
12163,24,0,1
12166,4,0,1
12167,447,9,11
12802,35,1,1
12168,494,1,9
12217,224,1,10
12175,510,46,5
12174,0,2,1
12169,1,1,1
5278,773,80,15
12177,17,12,1
12685,1,1,1
12359,55,33,9
12180,39,0,7
12181,1,1,1
12182,100,25,8
12183,50,33,10
12220,49,1,2
12302,8,8,1
12184,266,65,10
12187,0,6,2
12196,1001,146,29
12190,1,1,1
12191,440,4,10
12197,529,34,14
12192,39,3,3
12193,19,245,1
12206,218,16,4
12360,75,0,1
12768,362,2,6
12199,12,4,2
14136,7,2,1
13753,4,2,1
14184,7,2,1
12200,14,3,1
12201,65,21,9
12205,3,1,1
12472,1129,105,24
12207,35,23,4
12210,6,3,1
12421,161,0,4
12283,5,2,2
12219,3,2,2
12221,1,1,1
12222,5,4,2
12235,1,1,1
12223,342,40,18
12336,2,1,1
12228,308,1,7
12280,69,29,8
12305,58,1,4
12231,104,247,7
12229,6,6,2
13347,133,22,10
12240,129,0,1
12242,2,2,1
13122,101,5,4
12289,1190,505,51
12285,650,210,26
12247,27,0,1
12249,4,4,2
12287,144,0,6
12255,1,1,1
12256,1,1,1
12288,149,95,15
12251,18,18,4
12428,13,0,8
12262,7,0,1
12257,69,4,3
12263,162,2,3
12354,409,6,6
12269,15,4,1
12270,19,85,8
12271,2,2,1
12533,1,1,1
12272,33,14,1
12274,1,1,1
12276,24,11,1
12295,108,1,2
12298,1679,33,19
12290,1,1,1
12299,26,1,2
12296,26,1,2
12301,2,0,1
12303,56,15,3
12556,54,12,3
12312,1,1,1
12304,1,1,1
12307,1,1,1
12309,126,36,1
12310,1,1,1
12313,1,1,1
12314,1,1,1
12317,85,0,1
12322,1,6,1
12323,16,0,7
12352,144,5,3
12435,2045,498,72
12327,6,1,1
12329,1,1,1
12347,2499,136,49
12331,2,2,1
12332,1,1,1
12343,477,36,17
12284,6,7,5
12334,5,5,5
12335,8,8,6
12337,1,1,1
12338,52,4,2
12517,963,10,16
12461,1764,198,53
12349,7,1,1
12341,1,1,1
12342,7,9,1
13348,32,128,13
12344,176,35,9
12346,1704,27,15
12348,2,0,1
12381,12,16,4
12350,1,1,1
12351,5,5,4
12356,7,0,2
12357,2,139,5
12420,369,1,7
12361,64,9,3
12362,298,6,29
13365,777,25,26
12887,1034,34,34
12400,1,1,1
12370,569,1,5
12404,29,1,2
12375,29,1,2
12364,2,2,1
12371,1664,45,11
12579,1698,45,11
12369,21,21,1
12374,1,1,1
12396,221,0,4
12389,753,4,7
12376,1,1,1
12377,286,4,5
12378,39,286,7
12408,10,0,1
12388,10,0,1
12383,2,2,1
12385,2,2,1
12476,137,0,2
12384,1,1,1
12386,112,0,2
12395,112,0,2
12410,2,2,2
5236,1,1,1
12387,728,2,4
12390,1,1,1
12499,763,5,7
12394,30,30,8
12397,15,1,3
12398,220,36,10
12382,2,1,1
12406,1,1,1
12424,1,1,1
12415,1,1,1
12460,95,0,4
12412,36,9,5
12411,36,9,5
12413,1,1,1
12417,60,8,5
6653,308,15,5
12418,1,1,1
13954,17,0,3
12422,134,0,1
12431,74,72,10
12467,128,238,16
12494,15,1,2
12495,4,3,1
12425,1,1,1
12427,1,4,1
12430,489,489,148
12866,2623,116,45
12835,2574,63,37
12543,1731,57,31
12511,4,14,7
12644,14,18,3
12634,30,20,3
12506,308,0,9
12468,3,1,1
12571,398,17,17
12440,251,102,45
12441,0,12,1
12443,10,0,1
12444,924,20,14
12632,197,369,11
12852,2781,13,57
12480,60,5,6
12446,2,19,1
12447,38,2,1
12449,1629,9,15
12671,29,17,3
12448,6,4,1
12454,1,1,1
12453,17,3,2
12456,66,4,4
12455,2064,10,13
12457,144,35,10
12459,17,3,3
12465,1269,99,43
13397,367,56,12
12466,5,22,1
12478,1,1,1
12703,15,15,2
12471,10,26,7
12473,2,2,1
12539,1,1,1
12574,1,1,1
12585,8,0,1
12552,1,1,1
12484,48,0,3
12487,21,2,1
12488,11,2,1
12491,31,14,10
12492,1,1,1
12493,1,1,1
12497,29,6,4
12570,6,29,4
13388,47,13,2
12496,3,4,2
12501,1,1,1
12502,229,294,19
12534,33,39,9
12535,1,1,1
12504,608,8,5
12505,7,5,2
12600,30,3,3
12694,4,1,1
12508,3042,14,29
12619,1,1,1
12516,2,2,1
12524,1,1,1
5001,23,18,3
12512,276,68,13
13131,205,340,48
12513,38,47,7
12518,19,18,1
12519,4,69,6
12520,44,44,9
6618,338,1,2
12522,1,1,1
12523,1,1,1
12572,10,1,3
12527,1,0,1
12616,3,2,1
12586,1,1,1
12536,1,1,1
12537,14,2,3
12544,1,1,1
12545,1,1,1
12546,5,8,2
12563,1,1,9
12551,1,1,1
4522,229,226,25
12559,7,7,4
12560,3,3,3
12558,54,13,4
12562,400,48,30
12584,48,400,30
12646,7,41,2
12568,1,1,1
6595,439,207,23
12576,1,1,1
12580,106,1,4
12573,2,0,1
12883,2920,59,50
12575,8,8,6
12578,1,1,1
12577,6,2,1
12589,47,47,15
12581,1,1,1
12583,86,0,1
12587,487,185,17
12878,147,131,9
12588,3,2,2
12798,1,1,1
12591,281,185,13
12779,7,13,2
12592,6,14,2
12596,1,1,1
5028,11,11,3
12628,0,137,6
13821,57,243,10
12594,113,0,6
13747,156,245,16
12614,142,125,60
12599,1285,0,9
12598,2,177,4
12601,12,12,6
13204,24,12,9
12618,29,3,3
12608,8,8,8
12609,77,42,22
12610,3423,10,13
12612,1,1,1
12613,1,1,1
12668,1195,39,19
12615,60,33,9
12617,84,50,15
12621,17,1,2
12620,40,28,12
12622,2,0,1
12623,21,3,2
12624,3,3,2
12638,4,3,2
12626,244,6,7
12625,66,2,2
12630,63,42,14
12645,12,3,5
12631,1,3,1
12700,6,6,2
13247,218,53,7
12664,1,0,1
12660,101,2,6
12639,1,1,1
12640,31,11,8
12651,55,81,4
12642,12,0,2
12647,224,153,61
12650,8,3,2
12714,509,4,20
12652,1,1,1
12657,1,1,1
13124,1,1,1
12684,2,3,2
13555,331,17,14
12791,289,18,13
12663,1,1,1
12665,1,1,1
12666,18,0,6
12737,4580,2442,63
12674,4518,2454,62
13542,7,31,6
12734,30,20,5
12842,46,51,10
12736,31,1,2
12905,31,11,1
12800,3315,20,64
12679,1,1,1
12680,1,1,1
12672,1,1,1
12683,12,1,1
12675,137,0,2
12676,1646,556,106
12678,238,7,4
12681,327,101,14
12682,214,9,4
12686,12,19,3
12804,21,7,1
12688,1,1,1
12689,4,4,3
12690,1,0,1
12749,61,0,3
6781,145,0,2
12697,1,1,1
12698,0,45,1
12771,5,0,1
12704,168,2,4
12706,33,31,3
12705,82,28,5
13363,11,4,3
12729,192,1,3
