github_number,additions,deletions,changed_files
3836,1696,162,36
3863,1337,311,37
2289,2975,183,42
2317,26,21,1
2134,40,21,5
2007,312,90,14
2189,473,96,16
2150,25,13,3
2158,347,104,18
2174,332,93,15
2127,319,90,15
3062,752,147,28
2022,84,23,9
2439,69,30,7
2089,72,2,3
2073,88,62,10
1904,8,9,1
2044,201,11,5
3484,69,1,3
3467,1216,1708,30
2030,15,7,2
2054,13,12,5
2019,126,16,4
2031,140,20,2
2023,102,34,3
2117,0,23,1
2079,492,392,36
2095,14,12,2
2161,2,1,1
2072,2514,1091,75
2162,98,119,7
2060,104,4,5
2071,70,68,2
2045,134,82,16
2059,21,20,1
2024,72,16,6
2025,97,27,5
2049,137,124,10
2057,6,6,2
2032,137,2,4
2035,129,85,9
2046,6,5,1
2033,429,33,11
2096,19,8,3
2055,724,30,11
2047,188,138,6
2036,156,2,4
2040,7,3,2
2037,36,26,7
2043,10,0,1
2067,209,146,9
2076,4,4,2
2041,183,121,7
2069,8,6,2
2050,22,18,2
1905,96,1,2
2070,107,74,5
2058,75,83,1
2056,4,2,1
2062,94,172,8
2063,123,84,11
2097,103,185,11
2061,22,5,2
2064,3,4,1
2084,20,16,1
2075,13,0,1
2078,4,2,2
2082,0,25,1
2081,28,4,1
2080,1,1,1
2086,16,8,1
2109,15,14,1
2087,5,1,1
2101,13,29,3
2090,171,49,4
2099,24,16,1
2103,21,41,2
2094,73,36,1
2106,23,18,4
2112,353,318,41
2111,12,5,1
2836,18,7,4
2840,26,7,4
2845,28,16,2
2098,6,7,1
2125,35,28,6
2102,777,526,20
2122,1931,1176,29
2083,1127,617,22
2110,193,122,10
2159,2,1,1
2164,2,2,1
2171,10,2,2
2113,73,68,2
2114,5,3,3
2115,68,61,3
2116,6,6,1
2120,194,147,10
2118,143,143,30
2207,101,1,3
2196,16,8,2
2121,1,0,1
2123,14,3,1
2128,185,146,5
2132,4,6,1
2144,189,67,10
2147,114,22,2
2146,8908,4703,263
2138,20,10,2
2151,13,2,1
2137,78,65,4
2160,9,4,1
2141,2,1,1
2149,12,12,2
2366,158,238,9
2152,5,4,1
2156,12,21,2
2248,17,6,2
2251,16,2,1
2253,8,11,2
2254,7,3,1
2163,33,7,3
2168,74,23,2
2182,163,89,9
2191,11,0,1
2165,37,51,2
2169,52,58,2
