Month,Monthly Additions,Monthly Deletions,Monthly Change
2014-12-01,48028,43804,
2015-01-01,57351,39350,
2015-02-01,69342,30683,
2015-03-01,57671,26827,
2015-04-01,54569,29168,
2015-05-01,41570,24205,
2015-06-01,34353,13304,
2015-07-01,128309,17643,
2015-08-01,69977,51405,
2015-09-01,99825,50952,
2015-10-01,69863,83710,
2015-11-01,21614,44230,
2015-12-01,16334,8691,
2016-01-01,46528,37793,
2016-02-01,92492,93271,
2016-03-01,41002,26155,
2016-04-01,45584,12395,
2016-05-01,30455,8781,
2016-06-01,38265,9027,
2016-07-01,37369,16065,
2016-08-01,62173,23855,
2016-09-01,27441,12531,
2016-10-01,46882,22565,
2016-11-01,47103,13907,
2016-12-01,91320,33611,
2017-01-01,55949,130432,
2017-02-01,46275,13490,
2017-03-01,65490,18071,
2017-04-01,37307,21289,
2017-05-01,97448,44217,
2017-06-01,28257,19047,
2017-07-01,54422,32073,
2017-08-01,37296,40823,
2017-09-01,25442,13755,
2017-10-01,63357,23448,
2017-11-01,69729,30466,
2017-12-01,19228,7481,
2018-01-01,73860,25459,
2018-02-01,86422,34343,
2018-03-01,19682,6854,
2018-04-01,18765,7953,
2018-05-01,29653,11325,
2018-06-01,24524,8978,
2018-07-01,58126,19435,
2018-08-01,35088,22710,
2018-09-01,32078,25098,
2018-10-01,54164,37329,
2018-11-01,30474,10431,
2018-12-01,20524,6787,
2019-01-01,26231,35698,
2019-02-01,47069,38204,
2019-03-01,121914,20016,
2019-04-01,248599,43726,
2019-05-01,162487,25372,
2019-06-01,114349,66999,
2019-07-01,163141,74308,
2019-08-01,49737,33222,
2019-09-01,32712,21132,
2019-10-01,50556,48523,
2019-11-01,88082,28341,
2019-12-01,79635,38503,
2020-01-01,36695,20262,
2020-02-01,54847,29156,
2020-03-01,67551,37289,
2020-04-01,119181,59020,
2020-05-01,162868,59849,
2020-06-01,54494,22915,
2020-07-01,29245,17944,
2020-08-01,41344,14260,
2020-09-01,77653,44864,
2020-10-01,98039,35592,
2020-11-01,119682,40219,
2020-12-01,1500874,1401428,
2021-01-01,56906,36704,
2021-02-01,230699,212865,
2021-03-01,167459,55024,
2021-04-01,111761,36544,
2021-05-01,33681,30536,
2021-06-01,38516,191030,
2021-07-01,67083,40615,
