Month,Monthly Additions,Monthly Deletions,Monthly Change
2006-09-01,52151,16943,
2006-10-01,48041,38235,
2006-11-01,33407,20946,
2006-12-01,46491,9323,
2007-01-01,45030,31337,
2007-02-01,126851,83169,
2007-03-01,227056,100972,
2007-04-01,126189,22536,
2007-05-01,41417,24940,
2007-06-01,23032,25694,
2007-07-01,130155,137370,
2007-08-01,46104,17169,
2007-09-01,221394,23309,
2007-10-01,171491,20000,
2007-11-01,8704,148197,
2007-12-01,39967,36867,
2008-01-01,62088,46277,
2008-02-01,332112,116786,
2008-03-01,35772,12154,
2008-04-01,122135,57276,
2008-05-01,25468,19142,
2008-06-01,27975,7636,
2008-07-01,54632,146298,
2008-08-01,152996,98664,
2008-09-01,112949,52147,
2008-10-01,13329,17619,
2008-11-01,34464,14371,
2008-12-01,38776,12136,
2009-01-01,69397,125910,
2009-02-01,94645,60614,
2009-03-01,58010,156254,
2009-04-01,27838,16862,
2009-05-01,12177,3467,
2009-06-01,39256,22255,
2009-07-01,46158,9184,
2009-08-01,6113,4050,
2009-09-01,18498,9355,
2009-10-01,78614,51612,
2009-11-01,43444,16311,
2009-12-01,13851,8897,
2010-01-01,24563,11276,
2010-02-01,16940,11553,
2010-03-01,48279,21356,
2010-04-01,18019,15841,
2010-05-01,17167,11771,
2010-06-01,17191,5529,
2010-07-01,423472,789844,
2010-08-01,25828,21694,
2010-09-01,55414,11076,
2010-10-01,22358,14593,
2010-11-01,121042,145382,
2010-12-01,36657,6710,
2011-01-01,35026,45221,
2011-02-01,15354,5056,
2011-03-01,115936,102112,
2011-04-01,15448,6928,
2011-05-01,15770,3290,
2011-06-01,55041,18490,
2011-07-01,66147,29928,
2011-08-01,30929,13488,
2011-09-01,44065,25975,
2011-10-01,16319,8316,
2011-11-01,31021,16647,
2011-12-01,35838,30369,
2012-01-01,46753,21783,
2012-02-01,37224,24278,
2012-03-01,26493,29132,
2012-04-01,36173,13656,
2012-05-01,11666,5428,
2012-06-01,54809,29530,
2012-07-01,30739,26716,
2012-08-01,16074,3755,
2012-09-01,17992,3788,
2012-10-01,14373,5744,
2012-11-01,18429,9163,
2012-12-01,41504,195322,
2013-01-01,27945,3685,
2013-02-01,23063,7649,
2013-03-01,16606,8946,
2013-04-01,39105,24093,
2013-05-01,40430,15680,
2013-06-01,24824,11017,
2013-07-01,23066,12406,
2013-08-01,21166,3145,
2013-09-01,43027,24010,
2013-10-01,70934,34602,
2013-11-01,54883,8884,
2013-12-01,25466,47270,
2014-01-01,357527,359646,
2014-02-01,146214,50539,
2014-03-01,49960,18270,
2014-04-01,102784,159586,
2014-05-01,39816,14415,
2014-06-01,4933,1771,
2014-07-01,74955,45940,
2014-08-01,30042,58813,
2014-09-01,14426,3090,
2014-10-01,12974,34602,
2014-11-01,13312,5157,
2014-12-01,2647866,51439,
2015-01-01,67408,42143,
2015-02-01,168239,28970,
2015-03-01,34510,121916,
2015-04-01,83310,91529,
2015-05-01,93360,283373,
2015-06-01,189488,119275,
2015-07-01,71204,31499,
2015-08-01,111874,33550,
2015-09-01,190605,45992,
2015-10-01,229812,45429,
2015-11-01,30233,24876,
2015-12-01,123816,46749,
2016-01-01,36867,22641,
2016-02-01,85951,352658,
2016-03-01,93949,43175,
2016-04-01,135348,119768,
2016-05-01,18590,12417,
2016-06-01,45292,75968,
2016-07-01,11153,4898,
2016-08-01,7278,6541,
2016-09-01,44430,13326,
2016-10-01,14181,10631,
2016-11-01,10725,5713,
2016-12-01,15874,8566,
2017-01-01,26841,15617,
2017-02-01,51639,52035,
2017-03-01,99524,46192,
2017-04-01,33257,11952,
2017-05-01,62139,141666,
2017-06-01,5778,83573,
2017-07-01,12421,4260,
2017-08-01,64816,161763,
2017-09-01,4820,8687,
2017-10-01,88028,178304,
2017-11-01,41628,16732,
2017-12-01,22493,24963,
2018-01-01,72245,47231,
2018-02-01,11243,19362,
2018-03-01,179844,104446,
2018-04-01,3412,4541,
2018-05-01,5441,39106,
2018-06-01,14050,5211,
2018-07-01,11540,16358,
2018-08-01,35052,34151,
2018-09-01,13165,61970,
2018-10-01,19632,147890,
2018-11-01,3684,8314,
2018-12-01,11966,6614,
2019-01-01,2591,2557,
2019-02-01,2872,2055,
2019-03-01,37173,56509,
2019-04-01,5889,6129,
2019-05-01,18914,8210,
2019-06-01,5058,5546,
2019-07-01,5144,15672,
2019-08-01,14558,9372,
2019-09-01,6890,4159,
2019-10-01,13899,9101,
2019-11-01,16685,6683,
2019-12-01,4758,7323,
2020-01-01,3683,2269,
2020-02-01,8466,15517,
2020-03-01,9087,20452,
2020-04-01,26593,20222,
2020-05-01,21999,15842,
2020-06-01,43010,10416,
2020-07-01,5004,3479,
2020-08-01,46347,12804,
2020-09-01,8713,5809,
2020-10-01,8926,15286,
2020-11-01,5058,982,
2020-12-01,4961,1700,
2021-01-01,3981,1653,
2021-02-01,8452,6962,
2021-03-01,24683,13727,
2021-04-01,11719,12012,
2021-05-01,4381,3468,
2021-06-01,10181,11118,
2021-07-01,10521,11271,
