issue,rating,date,note
BEAM-11409,1,17.02.2022,changes introduced in another PR breaks
BEAM-10684,1,17.02.2022,recent merge broke functionality
BEAM-8299,1,17.02.2022,Upgrade to new versions to avoid issues
BEAM-9805,0,17.02.2022,Feature request
BEAM-2144,0,17.02.2022,Request
BEAM-7130,0,17.02.2022,Feature request
BEAM-5180,1,17.02.2022,Broken functionality introduced with recent merge
BEAM-4375,1,17.02.2022,Broken tests
BEAM-1517,0,17.02.2022,Feature request
BEAM-4015,0,17.02.2022,Not related to system
BEAM-2973,1,17.02.2022,Hotfix
BEAM-4689,0,17.02.2022,New feature request
BEAM-6583,0,17.02.2022,"Closed issue, suggested reopened if needed"
BEAM-8858,1,17.02.2022,Broken functionality
BEAM-8791,0,17.02.2022,
BEAM-7439,1,17.02.2022,Design issue
BEAM-8229,1,17.02.2022,Outdated tests
BEAM-8170,0,17.02.2022,
BEAM-7972,0,17.02.2022,
BEAM-7860,0,17.02.2022,
BEAM-6919,0,17.02.2022,Feature discussion
BEAM-6974,0,17.02.2022,Incorrect functionality
BEAM-6532,0,17.02.2022,
BEAM-4264,1,17.02.2022,Previously merged PR broke functionality
BEAM-6697,1,17.02.2022,Blocker
BEAM-4060,0,17.02.2022,Incorrect functionality
BEAM-6771,0,17.02.2022,
BEAM-4618,1,17.02.2022,Refactor broke functionality
BEAM-6460,0,17.02.2022,
BEAM-5456,0,17.02.2022,Feature suggestion
BEAM-7784,0,17.02.2022,
BEAM-4268,0,17.02.2022,
BEAM-2143,0,17.02.2022,
BEAM-1619,1,17.02.2022,Design issue accumulated
BEAM-7743,0,17.02.2022,Incorrect functionality
BEAM-3092,1,17.02.2022,Design limitation
BEAM-3064,0,17.02.2022,Not a blocker bug
BEAM-3056,1,17.02.2022,Blocker introduced on new branch
BEAM-4357,0,17.02.2022,Incorrect functionality
BEAM-3028,0,17.02.2022,Not a blocker bug
BEAM-4062,1,17.02.2022,PR introduced performance regression
BEAM-2981,0,17.02.2022,
BEAM-2984,1,17.02.2022,blocker
BEAM-6085,1,17.02.2022,
BEAM-3728,0,17.02.2022,
BEAM-2346,1,17.02.2022,Broken functionality due to other PR merge
BEAM-1647,1,17.02.2022,New build introduced performance issue
BEAM-1867,0,17.02.2022,
BEAM-8367,0,17.02.2022,Incorrect functionality
BEAM-5932,0,17.02.2022,Feature request
BEAM-7608,0,17.02.2022,
BEAM-6145,1,17.02.2022,Pipeline breaks because of new version
BEAM-1624,0,17.02.2022,Bug can't be reproduced
