issue,rating,date,note
SAK-11121,0,20.02.2022,
SAK-11486,0,20.02.2022,
SAK-11647,0,20.02.2022,Feature request
SAK-12034,0,20.02.2022,
SAK-12370,0,20.02.2022,Incorrect functionality
SAK-13120,1,20.02.2022,Discussing refactoring
SAK-13822,1,20.02.2022,Design limitation
SAK-14142,0,20.02.2022,
SAK-14525,0,20.02.2022,
SAK-14556,0,20.02.2022,Incorrect functionality
SAK-15311,0,20.02.2022,
SAK-15708,1,20.02.2022,Design issue
SAK-18587,0,20.02.2022,Feature request
SAK-18631,1,20.02.2022,Design issue
SAK-20077,0,20.02.2022,
SAK-20621,0,20.02.2022,
SAK-21039,0,20.02.2022,
SAK-21242,0,20.02.2022,
SAK-21687,0,20.02.2022,
SAK-21753,0,20.02.2022,Incorrect functionality
SAK-21867,0,20.02.2022,
SAK-21985,0,20.02.2022,
SAK-22012,0,20.02.2022,
SAK-22065,0,20.02.2022,
SAK-22252,0,20.02.2022,
SAK-22432,0,20.02.2022,
SAK-2259,0,20.02.2022,
SAK-22681,0,20.02.2022,
SAK-22701,0,20.02.2022,
SAK-22934,0,20.02.2022,
SAK-23120,1,20.02.2022,Design limitation
SAK-23247,0,20.02.2022,
SAK-23559,0,20.02.2022,
SAK-23694,0,20.02.2022,
SAK-23918,1,20.02.2022,Talks about refactoring
SAK-24185,0,20.02.2022,
SAK-24332,1,20.02.2022,Design issue
SAK-24944,0,20.02.2022,
SAK-25024,0,20.02.2022,Incorrect functionality
SAK-25043,0,20.02.2022,
SAK-25284,0,20.02.2022,
SAK-25289,0,20.02.2022,Incorrect functionality
SAK-25362,1,20.02.2022,Design issue
SAK-25369,0,20.02.2022,
SAK-25385,0,20.02.2022,Incorrect functionality
SAK-25542,0,20.02.2022,
SAK-25706,1,20.02.2022,Design issue
SAK-25750,1,20.02.2022,"Talks about refactoring, ?clean up code?"
SAK-25784,0,20.02.2022,
SAK-25880,0,20.02.2022,
SAK-26032,0,20.02.2022,
SAK-26085,1,20.02.2022,Design issue
SAK-26124,0,20.02.2022,
SAK-26138,0,20.02.2022,
SAK-26175,0,20.02.2022,
SAK-26180,0,20.02.2022,
SAK-26182,0,20.02.2022,
SAK-26205,1,20.02.2022,"Design limitation, talks about refactoring"
SAK-26259,1,20.02.2022,Design issue
SAK-26327,1,20.02.2022,Design issue
SAK-26380,0,20.02.2022,
SAK-26382,0,20.02.2022,
SAK-2654,0,20.02.2022,
SAK-26580,1,20.02.2022,Design issue
SAK-26681,0,20.02.2022,
SAK-26702,1,20.02.2022,Design issue
SAK-26761,0,20.02.2022,
SAK-27000,0,20.02.2022,
SAK-27494,0,20.02.2022,
SAK-27587,0,20.02.2022,
SAK-27715,0,20.02.2022,Feature request
SAK-27864,0,20.02.2022,
SAK-27906,0,20.02.2022,
SAK-27955,1,20.02.2022,Design limitation
SAK-27961,0,20.02.2022,
SAK-27970,0,20.02.2022,Incorrect functionality
SAK-27971,0,20.02.2022,
SAK-27978,0,20.02.2022,
SAK-27982,0,20.02.2022,
SAK-28001,0,20.02.2022,
SAK-28026,0,20.02.2022,
SAK-28032,0,20.02.2022,
SAK-28056,0,20.02.2022,Incorrect functionality
SAK-28070,0,20.02.2022,
SAK-28074,1,20.02.2022,Design limitation
SAK-28079,0,20.02.2022,
SAK-28088,0,20.02.2022,
SAK-28098,0,20.02.2022,
SAK-28107,0,20.02.2022,Incorrect functionality
SAK-28123,0,20.02.2022,
SAK-28124,0,20.02.2022,
SAK-28128,0,20.02.2022,Feature request
SAK-28129,0,20.02.2022,Feature request
SAK-28130,0,20.02.2022,Feature request
SAK-28131,0,20.02.2022,Feature request
SAK-28132,0,20.02.2022,Feature request
SAK-28133,0,20.02.2022,Feature request
SAK-28135,0,20.02.2022,Feature request
SAK-28136,0,20.02.2022,Feature request
SAK-28137,0,20.02.2022,Feature request
SAK-28138,0,20.02.2022,Feature request
SAK-28139,0,20.02.2022,Feature request
SAK-28140,0,20.02.2022,Feature request
SAK-28174,0,21.02.2022,Incorrect functionality
SAK-28187,1,21.02.2022,Design limitation
SAK-28188,0,21.02.2022,
SAK-28202,1,21.02.2022,Design issue
SAK-28415,1,21.02.2022,Design issue
SAK-28949,0,21.02.2022,
SAK-28955,1,21.02.2022,Design issue
SAK-28959,0,21.02.2022,
SAK-28961,1,21.02.2022,Design limitation
SAK-28962,0,21.02.2022,
SAK-28964,0,21.02.2022,Incorrect functionality
SAK-28965,1,21.02.2022,"Design issue, ?broken because of upgrade?"
SAK-28966,0,21.02.2022,
SAK-28967,0,21.02.2022,
SAK-28975,0,21.02.2022,
SAK-28976,0,21.02.2022,
SAK-28978,0,21.02.2022,
SAK-28981,0,21.02.2022,
SAK-28986,1,21.02.2022,Design limitation
SAK-28987,0,21.02.2022,
SAK-28988,0,21.02.2022,
SAK-28989,0,21.02.2022,
SAK-28990,0,21.02.2022,
SAK-28994,0,21.02.2022,
SAK-28997,0,21.02.2022,
SAK-28998,0,21.02.2022,
SAK-29000,1,21.02.2022,Design issue
SAK-29004,0,21.02.2022,
SAK-29006,0,21.02.2022,
SAK-29009,0,21.02.2022,
SAK-29012,0,21.02.2022,
SAK-29015,0,21.02.2022,
SAK-29018,0,21.02.2022,
SAK-29026,0,21.02.2022,
SAK-29031,0,21.02.2022,
SAK-29033,0,21.02.2022,
SAK-29035,1,21.02.2022,Design issue
SAK-29036,0,21.02.2022,
SAK-29038,1,21.02.2022,Design issue
SAK-29041,0,21.02.2022,
SAK-29048,0,21.02.2022,
SAK-29053,0,21.02.2022,Incorrect functionality
SAK-29057,1,21.02.2022,Design issue
SAK-29061,0,21.02.2022,
SAK-29062,0,21.02.2022,
SAK-29063,1,21.02.2022,Refactoring discussion
SAK-29074,0,24.02.2022,
