issue,rating,date,note
WFLY-10008 ,0,21.02.2022,
WFLY-10017 ,1,21.02.2022,"Design limitation, ?needs to be upgraded?"
WFLY-10027 ,0,21.02.2022,
WFLY-10034 ,1,21.02.2022,"Design issue, ?should be some clean up?"
WFLY-10039 ,1,21.02.2022,"Design limitation, ?Backward-compatibility issues?"
WFLY-10040 ,0,21.02.2022,Incorrect functionality
WFLY-10057 ,0,21.02.2022,Feature request
WFLY-10061 ,1,21.02.2022,"Design limitation, ?Backward-compatibility issues?"
WFLY-10064 ,0,21.02.2022,
WFLY-10065 ,0,21.02.2022,
WFLY-10066 ,0,21.02.2022,
WFLY-10069 ,1,21.02.2022,"Design issue, talks about refactoring"
WFLY-10076 ,0,21.02.2022,
WFLY-10080 ,0,21.02.2022,
WFLY-10093 ,0,21.02.2022,
WFLY-10106 ,1,21.02.2022,Design issue
WFLY-10121 ,0,21.02.2022,
WFLY-10122 ,0,21.02.2022,
WFLY-10124 ,0,21.02.2022,
WFLY-10125 ,0,21.02.2022,
WFLY-10147 ,1,21.02.2022,"Design limitation, ?then it will break when...?"
WFLY-10158 ,0,21.02.2022,
WFLY-10162 ,0,21.02.2022,
WFLY-10165 ,0,21.02.2022,Incorrect functionality
WFLY-10171 ,0,21.02.2022,
WFLY-10187 ,0,21.02.2022,
WFLY-10194 ,0,21.02.2022,
WFLY-10195 ,0,21.02.2022,
WFLY-10197 ,0,21.02.2022,
WFLY-10204 ,0,21.02.2022,
WFLY-10210 ,0,21.02.2022,
WFLY-10212 ,1,21.02.2022,Design limitation
WFLY-10216 ,1,21.02.2022,Design limitation
WFLY-10222 ,0,21.02.2022,
WFLY-10223 ,0,21.02.2022,
WFLY-10226 ,0,21.02.2022,
WFLY-10232 ,0,21.02.2022,
WFLY-10247 ,0,21.02.2022,
WFLY-10248 ,0,21.02.2022,
WFLY-10250 ,0,21.02.2022,Incorrect functionality
WFLY-10252 ,1,21.02.2022,Design limitation
WFLY-10253 ,0,21.02.2022,
WFLY-10256 ,0,21.02.2022,
WFLY-10262 ,0,21.02.2022,Incorrect functionality
WFLY-10269 ,1,21.02.2022,Design limitation
WFLY-10289 ,1,21.02.2022,Design limitation
WFLY-10290 ,0,21.02.2022,
WFLY-10292 ,1,21.02.2022,Design issue
WFLY-10293 ,0,21.02.2022,
WFLY-10299 ,0,21.02.2022,
WFLY-10308 ,0,21.02.2022,Incorrect functionality
WFLY-10310 ,0,21.02.2022,
WFLY-10311 ,1,21.02.2022,Design issue
WFLY-10312 ,0,21.02.2022,
WFLY-10318 ,1,21.02.2022,Design limitation
WFLY-1032 ,1,21.02.2022,Design limitation
WFLY-10321 ,0,21.02.2022,
WFLY-10326 ,0,21.02.2022,
WFLY-10328 ,0,21.02.2022,
WFLY-10331 ,0,21.02.2022,
WFLY-10335 ,0,21.02.2022,
WFLY-10338 ,1,21.02.2022,Design issue
WFLY-10343 ,0,21.02.2022,
WFLY-10345 ,0,21.02.2022,Incorrect functionality
WFLY-10347 ,0,21.02.2022,
WFLY-10351 ,1,21.02.2022,Talks about refactoring
WFLY-10352 ,1,21.02.2022,Design limitation
WFLY-10354 ,0,21.02.2022,
WFLY-10363 ,1,21.02.2022,"Design issue, ?legacy...?"
WFLY-10365 ,0,21.02.2022,
WFLY-10366 ,0,21.02.2022,Incorrect functionality
WFLY-10370 ,0,21.02.2022,
WFLY-10372 ,0,21.02.2022,
WFLY-10373 ,1,21.02.2022,Design limitation
WFLY-10379 ,1,21.02.2022,Design limitation
WFLY-10384 ,0,21.02.2022,
